root,verb_entry_id,entry_type,measure,status,meaning,current_past,current_present,current_imperative,qutrub_result,qutrub_future_type,qutrub_past,qutrub_present,qutrub_imperative,past_match,present_match,imperative_match,safe_corrections,qutrub_url
برك,برك-main,Main,I,ai_draft,"kneeling, settling, blessing",بَرَكَ,يَبْرُكُ,اُبْرُكْ,matched_existing_future_type,ضمة,بَرَكَ,يَبْرُكُ,اُبْرُكْ,True,True,True,,https://qutrub.arabeyes.org/?verb=بَرَكَ
جهد,جهد-main,Main,I,ai_draft,"striving, exerting effort",جَهَدَ,يَجْهَدُ,اِجْهَدْ,matched_existing_future_type,فتحة,جَهَدَ,يَجْهَدُ,اِجْهَدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=جَهَدَ
ورث,ورث-main,Main,I,ai_draft,inheriting,وَرِثَ,يَرِثُ,رِثْ,matched_existing_future_type,كسرة,وَرِثَ,يَرِثُ,رِثْ,True,True,True,,https://qutrub.arabeyes.org/?verb=وَرِثَ
وقد,وقد-main,Main,I,ai_draft,"burning, kindling",وَقَدَ,يَقِدُ,قِدْ,matched_existing_future_type,كسرة,وَقَدَ,يَقِدُ,قِدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=وَقَدَ
وقع,وقع-main,Main,I,ai_draft,"falling, happening, being located",وَقَعَ,يَقَعُ,قَعْ,matched_existing_future_type,فتحة,وَقَعَ,يَقَعُ,قَعْ,True,True,True,,https://qutrub.arabeyes.org/?verb=وَقَعَ
وقع,وقع-csv-572,Variant,V,ai_draft,To expect,توقع,يتوقع,توقع,unambiguous,فتحة,تَوْقَعَ,يُتَوْقِعُ,تَوْقِعْ,False,False,False,past=تَوْقَعَ; present=يُتَوْقِعُ; imperative=تَوْقِعْ,https://qutrub.arabeyes.org/?verb=توقع
ملأ,ملأ-main,Main,I,ai_draft,filling,مَلَأَ,يَمْلَأُ,اِمْلَأْ,matched_existing_future_type,فتحة,مَلَأَ,يَمْلَأُ,اِمْلَأْ,True,True,True,,https://qutrub.arabeyes.org/?verb=مَلَأَ
مرر,مرر-main,Main,I,ai_draft,passing by,مَرَّ,يَمُرُّ,مُرَّ,matched_existing_future_type,ضمة,مَرَّ,يَمُرُّ,اُمْرُرْ,True,True,False,imperative=اُمْرُرْ,https://qutrub.arabeyes.org/?verb=مَرَّ
مرر,مرر-csv-83,Variant,X,ai_draft,To continue,استمرّ,يستمرّ,استمرّ,unambiguous,فتحة,اِسْتَمَرَّ,يَسْتَمِرُّ,اِسْتَمْرِرْ,False,False,False,past=اِسْتَمَرَّ; present=يَسْتَمِرُّ; imperative=اِسْتَمْرِرْ,https://qutrub.arabeyes.org/?verb=استمرّ
نسخ,نسخ-main,Main,I,ai_draft,copying,نَسَخَ,يَنْسَخُ,اِنْسَخْ,matched_existing_future_type,فتحة,نَسَخَ,يَنْسَخُ,اِنْسَخْ,True,True,True,,https://qutrub.arabeyes.org/?verb=نَسَخَ
وضأ,وضأ-main,Main,V,ai_draft,performing ablution (wudoo),تَوَضَّأَ,يَتَوَضَّأُ,تَوَضَّأْ,unambiguous,فتحة,تَوَضَّأَ,يَتَوَضَّأُ,تَوَضَّأْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَوَضَّأَ
يقظ,يقظ-main,Main,X,ai_draft,waking up,اِسْتَيْقَظَ,يَسْتَيْقِظُ,اِسْتَيْقِظْ,unambiguous,فتحة,اِسْتَيْقَظَ,يَسْتَيْقِظُ,اِسْتَيْقِظْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِسْتَيْقَظَ
كنس,كنس-main,Main,I,ai_draft,"sweeping, vacuuming",كَنَسَ,يَكْنُسُ,اُكْنُسْ,matched_existing_future_type,ضمة,كَنَسَ,يَكْنُسُ,اُكْنُسْ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَنَسَ
كوي,كوي-main,Main,I,ai_draft,ironing,كَوَى,يَكْوِي,اِكْوِ,matched_existing_future_type,كسرة,كَوَى,يَكْوِي,اِكْوِ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَوَى
طوع,طوع-main,Main,X,ai_draft,"being able, can",اِسْتَطَاعَ,يَسْتَطِيعُ,اِسْتَطِعْ,unambiguous,فتحة,اِسْتَطَاعَ,يَسْتَطِيعُ,اِسْتَطِعْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِسْتَطَاعَ
طوع,طوع-csv-61,Variant,IV,ai_draft,To obey,أطاع,يطيع,أطع,unambiguous,فتحة,أَطَاعَ,يُطِيعُ,أَطِعْ,False,False,False,past=أَطَاعَ; present=يُطِيعُ; imperative=أَطِعْ,https://qutrub.arabeyes.org/?verb=أطاع
بدأ,بدأ-main,Main,I,ai_draft,"starting, beginning",بَدَأَ,يَبْدَأُ,اِبْدَأْ,matched_existing_future_type,فتحة,بَدَأَ,يَبْدَأُ,اِبْدَأْ,True,True,True,,https://qutrub.arabeyes.org/?verb=بَدَأَ
نهي,نهي-main,Main,VIII,ai_draft,finishing,اِنْتَهَى,يَنْتَهِي,اِنْتَهِ,unambiguous,فتحة,اِنْتَهَى,يَنْتَهِي,اِنْتَهِ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِنْتَهَى
نهي,نهي-csv-26,Variant,I,ai_draft,"To forbid, prohibit",نهى,ينهى,انه,ambiguous_future_type,,نَهَى,,,False,,,,https://qutrub.arabeyes.org/?verb=نهى
نهي,نهي-csv-100,Variant,IV,ai_draft,To finish,أنهى,ينهي,أنه,unambiguous,فتحة,أَنْهَى,يُنْهِي,أَنْهِ,False,False,False,past=أَنْهَى; present=يُنْهِي; imperative=أَنْهِ,https://qutrub.arabeyes.org/?verb=أنهى
صحح,صحح-main,Main,II,ai_draft,correcting,صَحَّحَ,يُصَحِّحُ,صَحِّحْ,unambiguous,فتحة,صَحَّحَ,يُصَحِّحُ,صَحِّحْ,True,True,True,,https://qutrub.arabeyes.org/?verb=صَحَّحَ
صحح,صحح-csv-110,Variant,I,ai_draft,To be correct,صحّ,يصحّ,صحّ,ambiguous_future_type,,صَحَّ,,,False,,,,https://qutrub.arabeyes.org/?verb=صحّ
حبب,حبب-main,Main,IV,ai_draft,"loving, liking",أَحَبَّ,يُحِبُّ,أَحِبَّ,unambiguous,فتحة,أَحَبَّ,يُحِبُّ,أَحْبِبْ,True,True,False,imperative=أَحْبِبْ,https://qutrub.arabeyes.org/?verb=أَحَبَّ
رسم,رسم-main,Main,I,ai_draft,drawing,رَسَمَ,يَرْسُمُ,اُرْسُمْ,matched_existing_future_type,ضمة,رَسَمَ,يَرْسُمُ,اُرْسُمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=رَسَمَ
خير,خير-main,Main,VIII,ai_draft,choosing,اِخْتَارَ,يَخْتَارُ,اِخْتَرْ,unambiguous,فتحة,اِخْتَارَ,يَخْتَارُ,اِخْتَرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِخْتَارَ
روح,روح-main,Main,X,ai_draft,"resting, relaxing, taking a break",اِسْتَرَاحَ,يَسْتَرِيحُ,اِسْتَرِحْ,unambiguous,فتحة,اِسْتَرَاحَ,يَسْتَرِيحُ,اِسْتَرِحْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِسْتَرَاحَ
روح,روح-csv-29,Variant,II,ai_draft,"To recreate, relax, refresh",روّح,يروح,روح,unambiguous,فتحة,رَوَّحَ,يُرَوِّحُ,رَوِّحْ,False,False,False,past=رَوَّحَ; present=يُرَوِّحُ; imperative=رَوِّحْ,https://qutrub.arabeyes.org/?verb=روّح
روح,روح-csv-102,Variant,VI,ai_draft,To range (between),تراوح,يتراوح,تراوح,unambiguous,فتحة,تَرَاوَحَ,يَتَرَاوَحُ,تَرَاوَحْ,False,False,False,past=تَرَاوَحَ; present=يَتَرَاوَحُ; imperative=تَرَاوَحْ,https://qutrub.arabeyes.org/?verb=تراوح
روح,روح-csv-535,Variant,VIII,ai_draft,"To be happy, pleased",ارتاح,يرتاح,ارتح,unambiguous,فتحة,اِرْتَاحَ,يَرْتَاحُ,اِرْتَحْ,False,False,False,past=اِرْتَاحَ; present=يَرْتَاحُ; imperative=اِرْتَحْ,https://qutrub.arabeyes.org/?verb=ارتاح
بقي,بقي-main,Main,I,ai_draft,"staying, remaining",بَقِيَ,يَبْقَى,اِبْقَ,matched_existing_future_type,فتحة,بَقِيَ,يَبْقَى,اِبْقَ,True,True,True,,https://qutrub.arabeyes.org/?verb=بَقِيَ
بقي,بقي-csv-496,Variant,IV,ai_draft,"To maintain, preserve",أبقى,يبقي,أبق,unambiguous,فتحة,أَبْقَى,يُبْقِي,أَبْقِ,False,False,False,past=أَبْقَى; present=يُبْقِي; imperative=أَبْقِ,https://qutrub.arabeyes.org/?verb=أبقى
قضي,قضي-main,Main,I,ai_draft,spending time,قَضَى,يَقْضِي,اِقْضِ,matched_existing_future_type,كسرة,قَضَى,يَقْضِي,اِقْضِ,True,True,True,,https://qutrub.arabeyes.org/?verb=قَضَى
حضر,حضر-main,Main,I,ai_draft,"attending, being present",حَضَرَ,يَحْضُرُ,اُحْضُرْ,matched_existing_future_type,ضمة,حَضَرَ,يَحْضُرُ,اُحْضُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَضَرَ
نقل,نقل-main,Main,VIII,ai_draft,"moving, transferring",اِنْتَقَلَ,يَنْتَقِلُ,اِنْتَقِلْ,unambiguous,فتحة,اِنْتَقَلَ,يَنْتَقِلُ,اِنْتَقِلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِنْتَقَلَ
نقل,نقل-csv-368,Variant,I,ai_draft,To transmit,نقل,ينقل,انقل,ambiguous_future_type,,نَقَلَ,,,False,,,,https://qutrub.arabeyes.org/?verb=نقل
غرق,غرق-main,Main,X,ai_draft,"taking (time), being absorbed",اِسْتَغْرَقَ,يَسْتَغْرِقُ,اِسْتَغْرِقْ,unambiguous,فتحة,اِسْتَغْرَقَ,يَسْتَغْرِقُ,اِسْتَغْرِقْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِسْتَغْرَقَ
زحم,زحم-main,Main,VIII,ai_draft,"being crowded, congested",اِزْدَحَمَ,يَزْدَحِمُ,اِزْدَحِمْ,unambiguous,فتحة,اِزْدَحَمَ,يَزْدَحِمُ,اِزْدَحِمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِزْدَحَمَ
حجز,حجز-main,Main,I,ai_draft,"booking, reserving",حَجَزَ,يَحْجِزُ,اِحْجِزْ,matched_existing_future_type,كسرة,حَجَزَ,يَحْجِزُ,اِحْجِزْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَجَزَ
أكد,أكد-main,Main,II,ai_draft,confirming,أَكَّدَ,يُؤَكِّدُ,أَكِّدْ,unambiguous,فتحة,أَكَّدَ,يُؤَكِّدُ,أَكِّدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَكَّدَ
حلق,حلق-main,Main,I,ai_draft,shaving,حَلَقَ,يَحْلِقُ,اِحْلِقْ,matched_existing_future_type,كسرة,حَلَقَ,يَحْلِقُ,اِحْلِقْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَلَقَ
رمي,رمي-main,Main,I,ai_draft,throwing,رَمَى,يَرْمِي,اِرْمِ,matched_existing_future_type,كسرة,رَمَى,يَرْمِي,اِرْمِ,True,True,True,,https://qutrub.arabeyes.org/?verb=رَمَى
سعي,سعي-main,Main,I,ai_draft,striving; making sa'ee,سَعَى,يَسْعَى,اِسْعَ,matched_existing_future_type,فتحة,سَعَى,يَسْعَى,اِسْعَ,True,True,True,,https://qutrub.arabeyes.org/?verb=سَعَى
خلع,خلع-main,Main,I,ai_draft,"taking off, undressing",خَلَعَ,يَخْلَعُ,اِخْلَعْ,matched_existing_future_type,فتحة,خَلَعَ,يَخْلَعُ,اِخْلَعْ,True,True,True,,https://qutrub.arabeyes.org/?verb=خَلَعَ
رفع,رفع-main,Main,VIII,ai_draft,"rising, being elevated",اِرْتَفَعَ,يَرْتَفِعُ,اِرْتَفِعْ,unambiguous,فتحة,اِرْتَفَعَ,يَرْتَفِعُ,اِرْتَفِعْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِرْتَفَعَ
رفع,رفع-csv-155,Variant,I,ai_draft,To raise,رفع,يرفع,ارفع,ambiguous_future_type,,رَفَعَ,,,False,,,,https://qutrub.arabeyes.org/?verb=رفع
شفي,شفي-main,Main,I,ai_draft,"curing, healing",شَفَى,يَشْفِي,اِشْفِ,matched_existing_future_type,كسرة,شَفَى,يَشْفِي,اِشْفِ,True,True,True,,https://qutrub.arabeyes.org/?verb=شَفَى
فحص,فحص-main,Main,I,ai_draft,"checking, examining",فَحَصَ,يَفْحَصُ,اِفْحَصْ,matched_existing_future_type,فتحة,فَحَصَ,يَفْحَصُ,اِفْحَصْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَحَصَ
عود,عود-main,Main,IV,ai_draft,"repeating, returning (something)",أَعَادَ,يُعِيدُ,أَعِدْ,unambiguous,فتحة,أَعَادَ,يُعِيدُ,أَعِدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَعَادَ
عود,عود-csv-57,Variant,I,ai_draft,To return,عاد,يعود,عد,ambiguous_future_type,,عَادَ,,,False,,,,https://qutrub.arabeyes.org/?verb=عاد
عود,عود-csv-565,Variant,VIII,ai_draft,"To get used to, become accustomed to",اعتاد,يعتاد,اعتد,unambiguous,فتحة,اِعْتَادَ,يَعْتَادُ,اِعْتَدْ,False,False,False,past=اِعْتَادَ; present=يَعْتَادُ; imperative=اِعْتَدْ,https://qutrub.arabeyes.org/?verb=اعتاد
شور,شور-main,Main,IV,ai_draft,"pointing, indicating",أَشَارَ,يُشِيرُ,أَشِرْ,unambiguous,فتحة,أَشَارَ,يُشِيرُ,أَشِرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَشَارَ
قول,قول-main,Main,I,ai_draft,saying,قَالَ,يَقُولُ,قُلْ,matched_existing_future_type,ضمة,قَالَ,يَقُولُ,قُلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=قَالَ
رتب,رتب-main,Main,II,ai_draft,arranging,رَتَّبَ,يُرَتِّبُ,رَتِّبْ,unambiguous,فتحة,رَتَّبَ,يُرَتِّبُ,رَتِّبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=رَتَّبَ
بدل,بدل-main,Main,VI,ai_draft,exchanging,تَبَادَلَ,يَتَبَادَلُ,تَبَادَلْ,unambiguous,فتحة,تَبَادَلَ,يَتَبَادَلُ,تَبَادَلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَبَادَلَ
جوب,جوب-main,Main,IV,ai_draft,answering,أَجَابَ,يُجِيبُ,أَجِبْ,unambiguous,فتحة,أَجَابَ,يُجِيبُ,أَجِبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَجَابَ
جوب,جوب-csv-182,Variant,I,ai_draft,"To explore, go about",جاب,يجوب,جب,ambiguous_future_type,,جَابَ,,,False,,,,https://qutrub.arabeyes.org/?verb=جاب
جوب,جوب-csv-296,Variant,X,ai_draft,"To respond, carry out",استجاب,يستجيب,استجب,unambiguous,فتحة,اِسْتَجَابَ,يَسْتَجِيبُ,اِسْتَجِبْ,False,False,False,past=اِسْتَجَابَ; present=يَسْتَجِيبُ; imperative=اِسْتَجِبْ,https://qutrub.arabeyes.org/?verb=استجاب
جوب,جوب-csv-534,Variant,VI,ai_draft,To comply,تجاوب,يتجاوب,تجاوب,unambiguous,فتحة,تَجَاوَبَ,يَتَجَاوَبُ,تَجَاوَبْ,False,False,False,past=تَجَاوَبَ; present=يَتَجَاوَبُ; imperative=تَجَاوَبْ,https://qutrub.arabeyes.org/?verb=تجاوب
صلو,صلو-main,Main,II,ai_draft,praying,صَلَّى,يُصَلِّي,صَلِّ,unambiguous,فتحة,صَلَّى,يُصَلِّي,صَلِّ,True,True,True,,https://qutrub.arabeyes.org/?verb=صَلَّى
رود,رود-main,Main,IV,ai_draft,"wanting, intending",أَرَادَ,يُرِيدُ,أَرِدْ,unambiguous,فتحة,أَرَادَ,يُرِيدُ,أَرِدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَرَادَ
نوم,نوم-main,Main,I,ai_draft,sleeping,نَامَ,يَنَامُ,نَمْ,matched_existing_future_type,فتحة,نَامَ,يَنَامُ,نِمْ,True,True,False,imperative=نِمْ,https://qutrub.arabeyes.org/?verb=نَامَ
فضل,فضل-main,Main,II,ai_draft,preferring,فَضَّلَ,يُفَضِّلُ,فَضِّلْ,unambiguous,فتحة,فَضَّلَ,يُفَضِّلُ,فَضِّلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَضَّلَ
حول,حول-main,Main,II,ai_draft,"changing, converting, transferring",حَوَّلَ,يُحَوِّلُ,حَوِّلْ,unambiguous,فتحة,حَوَّلَ,يُحَوِّلُ,حَوِّلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=حَوَّلَ
حول,حول-csv-10,Variant,III,ai_draft,To try,حاول,يحاول,حاول,unambiguous,فتحة,حَاوَلَ,يُحَاوِلُ,حَاوِلْ,False,False,False,past=حَاوَلَ; present=يُحَاوِلُ; imperative=حَاوِلْ,https://qutrub.arabeyes.org/?verb=حاول
سفر,سفر-main,Main,III,ai_draft,traveling,سَافَرَ,يُسَافِرُ,سَافِرْ,unambiguous,فتحة,سَافَرَ,يُسَافِرُ,سَافِرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=سَافَرَ
كون,كون-main,Main,I,ai_draft,being,كَانَ,يَكُونُ,كُنْ,matched_existing_future_type,ضمة,كَانَ,يَكُونُ,كُنْ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَانَ
كمل,كمل-main,Main,IV,ai_draft,completing,أَكْمَلَ,يُكْمِلُ,أَكْمِلْ,unambiguous,فتحة,أَكْمَلَ,يُكْمِلُ,أَكْمِلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَكْمَلَ
صبح,صبح-main,Main,IV,ai_draft,becoming,أَصْبَحَ,يُصْبِحُ,أَصْبِحْ,unambiguous,فتحة,أَصْبَحَ,يُصْبِحُ,أَصْبِحْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَصْبَحَ
صبح,صبح-csv-578,Variant,II,ai_draft,To wish a good morning,صبح,يصبح,صبح,ambiguous_future_type,,صَبَحَ,,,False,,,,https://qutrub.arabeyes.org/?verb=صبح
سوق,سوق-main,Main,V,ai_draft,shopping,تَسَوَّقَ,يَتَسَوَّقُ,تَسَوَّقْ,unambiguous,فتحة,تَسَوَّقَ,يَتَسَوَّقُ,تَسَوَّقْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَسَوَّقَ
سوق,سوق-csv-457,Variant,I,ai_draft,"To move, transport, drive",ساق,يسوق,سق,ambiguous_future_type,,سَاقَ,,,False,,,,https://qutrub.arabeyes.org/?verb=ساق
مطر,مطر-main,Main,IV,ai_draft,raining,أَمْطَرَ,يُمْطِرُ,أَمْطِرْ,unambiguous,فتحة,أَمْطَرَ,يُمْطِرُ,أَمْطِرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَمْطَرَ
كلم,كلم-main,Main,V,ai_draft,speaking,تَكَلَّمَ,يَتَكَلَّمُ,تَكَلَّمْ,unambiguous,فتحة,تَكَلَّمَ,يَتَكَلَّمُ,تَكَلَّمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَكَلَّمَ
كلم,كلم-quranic-address,Variant,II,ai_draft,"speaking to, addressing (someone)",كَلَّمَ,يُكَلِّمُ,كَلِّمْ,unambiguous,فتحة,كَلَّمَ,يُكَلِّمُ,كَلِّمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَلَّمَ
زوج,زوج-main,Main,V,ai_draft,marrying,تَزَوَّجَ,يَتَزَوَّجُ,تَزَوَّجْ,unambiguous,فتحة,تَزَوَّجَ,يَتَزَوَّجُ,تَزَوَّجْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَزَوَّجَ
زور,زور-main,Main,I,ai_draft,visiting,زَارَ,يَزُورُ,زُرْ,matched_existing_future_type,ضمة,زَارَ,يَزُورُ,زُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=زَارَ
لوث,لوث-main,Main,V,ai_draft,being polluted,تَلَوَّثَ,يَتَلَوَّثُ,تَلَوَّثْ,unambiguous,فتحة,تَلَوَّثَ,يَتَلَوَّثُ,تَلَوَّثْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَلَوَّثَ
قوم,قوم-main,Main,IV,ai_draft,"staying, residing",أَقَامَ,يُقِيمُ,أَقِمْ,unambiguous,فتحة,أَقَامَ,يُقِيمُ,أَقِمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَقَامَ
قوم,قوم-csv-69,Variant,I,ai_draft,To do/fulfill,قام,يقوم,قم,ambiguous_future_type,,قَامَ,,,False,,,,https://qutrub.arabeyes.org/?verb=قام
غدر,غدر-main,Main,III,ai_draft,departing,غَادَرَ,يُغَادِرُ,غَادِرْ,unambiguous,فتحة,غَادَرَ,يُغَادِرُ,غَادِرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=غَادَرَ
صوم,صوم-main,Main,I,ai_draft,fasting,صَامَ,يَصُومُ,صُمْ,matched_existing_future_type,ضمة,صَامَ,يَصُومُ,صُمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=صَامَ
طوف,طوف-main,Main,I,ai_draft,making tawaf,طَافَ,يَطُوفُ,طُفْ,matched_existing_future_type,ضمة,طَافَ,يَطُوفُ,طُفْ,True,True,True,,https://qutrub.arabeyes.org/?verb=طَافَ
لبي,لبي-main,Main,II,ai_draft,saying the Talbiyah,لَبَّى,يُلَبِّي,لَبِّ,unambiguous,فتحة,لَبَّى,يُلَبِّي,لَبِّ,True,True,True,,https://qutrub.arabeyes.org/?verb=لَبَّى
صوب,صوب-main,Main,IV,ai_draft,"being afflicted, hit",أَصَابَ,يُصِيبُ,أَصِبْ,unambiguous,فتحة,أَصَابَ,يُصِيبُ,أَصِبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَصَابَ
غيب,غيب-main,Main,V,ai_draft,being absent,تَغَيَّبَ,يَتَغَيَّبُ,تَغَيَّبْ,unambiguous,فتحة,تَغَيَّبَ,يَتَغَيَّبُ,تَغَيَّبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَغَيَّبَ
عطو,عطو-main,Main,IV,ai_draft,giving,أَعْطَى,يُعْطِي,أَعْطِ,unambiguous,فتحة,أَعْطَى,يُعْطِي,أَعْطِ,True,True,True,,https://qutrub.arabeyes.org/?verb=أَعْطَى
سعد,سعد-main,Main,III,ai_draft,helping,سَاعَدَ,يُسَاعِدُ,سَاعِدْ,unambiguous,فتحة,سَاعَدَ,يُسَاعِدُ,سَاعِدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=سَاعَدَ
سعد,سعد-csv-200,Variant,IV,ai_draft,To bring happiness,أسعد,يسعد,أسعد,unambiguous,فتحة,أَسْعَدَ,يُسْعِدُ,أَسْعِدْ,False,False,False,past=أَسْعَدَ; present=يُسْعِدُ; imperative=أَسْعِدْ,https://qutrub.arabeyes.org/?verb=أسعد
رأي,رأي-main,Main,I,ai_draft,seeing,رَأَى,يَرَى,رَ,matched_existing_future_type,فتحة,رَأَى,يَرَى,رَ,True,True,True,,https://qutrub.arabeyes.org/?verb=رَأَى
علج,علج-main,Main,III,ai_draft,"treating, curing",عَالَجَ,يُعَالِجُ,عَالِجْ,unambiguous,فتحة,عَالَجَ,يُعَالِجُ,عَالِجْ,True,True,True,,https://qutrub.arabeyes.org/?verb=عَالَجَ
شكو,شكو-main,Main,VIII,ai_draft,"complaining, suffering from",اِشْتَكَى,يَشْتَكِي,اِشْتَكِ,unambiguous,فتحة,اِشْتَكَى,يَشْتَكِي,اِشْتَكِ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِشْتَكَى
شكو,شكو-csv-58,Variant,I,ai_draft,To complain,شكا,يشكو,اشك,ambiguous_future_type,,شَكَا,,,False,,,,https://qutrub.arabeyes.org/?verb=شكا
أمر,أمر-main,Main,I,ai_draft,commanding,أَمَرَ,يَأْمُرُ,مُرْ,matched_existing_future_type,ضمة,أَمَرَ,يَأْمُرُ,اُؤْمُرْ,True,True,False,imperative=اُؤْمُرْ,https://qutrub.arabeyes.org/?verb=أَمَرَ
سقي,سقي-main,Main,I,ai_draft,"giving drink, watering",سَقَى,يَسْقِي,اِسْقِ,matched_existing_future_type,كسرة,سَقَى,يَسْقِي,اِسْقِ,True,True,True,,https://qutrub.arabeyes.org/?verb=سَقَى
فكر,فكر-main,Main,II,ai_draft,thinking,فَكَّرَ,يُفَكِّرُ,فَكِّرْ,unambiguous,فتحة,فَكَّرَ,يُفَكِّرُ,فَكِّرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَكَّرَ
شبه,شبه-main,Main,VI,ai_draft,resembling,تَشَابَهَ,يَتَشَابَهُ,تَشَابَهْ,unambiguous,فتحة,تَشَابَهَ,يَتَشَابَهُ,تَشَابَهْ,True,True,True,,https://qutrub.arabeyes.org/?verb=تَشَابَهَ
خلف,خلف-main,Main,VIII,ai_draft,differing,اِخْتَلَفَ,يَخْتَلِفُ,اِخْتَلِفْ,unambiguous,فتحة,اِخْتَلَفَ,يَخْتَلِفُ,اِخْتَلِفْ,True,True,True,,https://qutrub.arabeyes.org/?verb=اِخْتَلَفَ
خلف,خلف-csv-208,Variant,III,ai_draft,"To be different from, be contrary to",خالف,يخالف,خالف,unambiguous,فتحة,خَالَفَ,يُخَالِفُ,خَالِفْ,False,False,False,past=خَالَفَ; present=يُخَالِفُ; imperative=خَالِفْ,https://qutrub.arabeyes.org/?verb=خالف
خلف,خلف-csv-472,Variant,IV,ai_draft,To break a promise or commitment,أخلف,يخلف,أخلف,unambiguous,فتحة,أَخْلَفَ,يُخْلِفُ,أَخْلِفْ,False,False,False,past=أَخْلَفَ; present=يُخْلِفُ; imperative=أَخْلِفْ,https://qutrub.arabeyes.org/?verb=أخلف
خلف,خلف-quranic-succeed,Variant,I,ai_draft,"succeeding, coming after",خَلَفَ,يَخْلُفُ,اُخْلُفْ,matched_existing_future_type,ضمة,خَلَفَ,يَخْلُفُ,اُخْلُفْ,True,True,True,,https://qutrub.arabeyes.org/?verb=خَلَفَ
زيد,زيد-main,Main,I,ai_draft,increasing,زَادَ,يَزِيدُ,زِدْ,ambiguous_future_type,,زَادَ,,,True,,,,https://qutrub.arabeyes.org/?verb=زَادَ
زيد,زيد-csv-74,Variant,VIII,ai_draft,"To grow, increase",ازداد,يزداد,ازدد,unambiguous,فتحة,اِزْدَادَ,يَزْدَادُ,اِزْدَدْ,False,False,False,past=اِزْدَادَ; present=يَزْدَادُ; imperative=اِزْدَدْ,https://qutrub.arabeyes.org/?verb=ازداد
نجح,نجح-main,Main,I,ai_draft,"succeeding, passing",نَجَحَ,يَنْجَحُ,اِنْجَحْ,matched_existing_future_type,فتحة,نَجَحَ,يَنْجَحُ,اِنْجَحْ,True,True,True,,https://qutrub.arabeyes.org/?verb=نَجَحَ
مرس,مرس-main,Main,III,ai_draft,"practising, exercising",مَارَسَ,يُمَارِسُ,مَارِسْ,unambiguous,فتحة,مَارَسَ,يُمَارِسُ,مَارِسْ,True,True,True,,https://qutrub.arabeyes.org/?verb=مَارَسَ
نقص,نقص-main,Main,I,ai_draft,"decreasing, lacking",نَقَصَ,يَنْقُصُ,اُنْقُصْ,matched_existing_future_type,ضمة,نَقَصَ,يَنْقُصُ,اُنْقُصْ,True,True,True,,https://qutrub.arabeyes.org/?verb=نَقَصَ
